analysis,n_positive_train,n_negative_train,scale_pos_weight,rule,ratio,repeat_index,fold_index
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,0.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,1.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,2.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,3.0
main_benchmark_cv,328,328,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,0.0,4.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,0.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,1.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,2.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,3.0
main_benchmark_cv,328,328,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,1.0,4.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,0.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,1.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,2.0
main_benchmark_cv,327,327,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,3.0
main_benchmark_cv,328,328,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,2.0,4.0
main_benchmark,409,409,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,,
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,0.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,1.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,2.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,3.0
training_only_ratio_cv,328,656,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,0.0,4.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,0.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,1.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,2.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,3.0
training_only_ratio_cv,328,656,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,1.0,4.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,0.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,1.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,2.0
training_only_ratio_cv,327,654,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,3.0
training_only_ratio_cv,328,656,2.0,dynamic_n_negative_train_over_n_positive_train,1:2,2.0,4.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,0.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,1.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,2.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,3.0
training_only_ratio_cv,328,984,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,0.0,4.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,0.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,1.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,2.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,3.0
training_only_ratio_cv,328,984,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,1.0,4.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,0.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,1.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,2.0
training_only_ratio_cv,327,981,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,3.0
training_only_ratio_cv,328,984,3.0,dynamic_n_negative_train_over_n_positive_train,1:3,2.0,4.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,0.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,1.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,2.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,3.0
training_only_ratio_cv,328,1312,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,0.0,4.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,0.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,1.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,2.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,3.0
training_only_ratio_cv,328,1312,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,1.0,4.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,0.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,1.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,2.0
training_only_ratio_cv,327,1308,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,3.0
training_only_ratio_cv,328,1312,4.0,dynamic_n_negative_train_over_n_positive_train,1:4,2.0,4.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,0.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,1.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,2.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,3.0
training_only_ratio_cv,328,1640,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,0.0,4.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,0.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,1.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,2.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,3.0
training_only_ratio_cv,328,1640,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,1.0,4.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,0.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,1.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,2.0
training_only_ratio_cv,327,1635,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,3.0
training_only_ratio_cv,328,1640,5.0,dynamic_n_negative_train_over_n_positive_train,1:5,2.0,4.0
supplementary_model_comparison,409,409,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,,
feature_ablation,409,409,1.0,dynamic_n_negative_train_over_n_positive_train,1:1,,
